person,personLabel,personImage,personGender,child,childLabel,childImage,childGender
Q108812505,Beatrice Waghalter,http://commons.wikimedia.org/wiki/Special:FilePath/Beatrice%20Waghalter.png,female,Q370410,David North,http://commons.wikimedia.org/wiki/Special:FilePath/David%20North.jpg,male
Q2847760,André Fontaine,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Fontaine%20%281969%29.jpg,male,Q370496,Jean-Marc Fontaine,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Marc.jpg,male
Q1700428,John Henry Kyl,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Henry%20Kyl.jpg,male,Q371031,Jon Kyl,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Kyl%2C%20official%20109th%20Congress%20photo.jpg,male
Q12973,Leopold III of Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Leopold%20III%20%281934%29.jpg,male,Q371203,"Princess Marie-Esméralda, Lady Moncada",http://commons.wikimedia.org/wiki/Special:FilePath/S.A.R.%20la%20Princesse%20Maria-Esm%C3%A9ralda%20de%20Belgique.jpg,female
Q81179,"Lilian, Princess of Réthy",http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Lilian%20Baels.jpg,female,Q371203,"Princess Marie-Esméralda, Lady Moncada",http://commons.wikimedia.org/wiki/Special:FilePath/S.A.R.%20la%20Princesse%20Maria-Esm%C3%A9ralda%20de%20Belgique.jpg,female
Q217167,King Faisal bin Abdulaziz Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/King%20Faisal%20of%20Saudi%20Arabia%20on%20on%20arrival%20ceremony%20welcoming%2005-27-1971%20%28cropped%29.jpg,male,Q371263,Khalid bin Faisal Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/Khalid%20al%20Faisal.jpg,male
Q1763476,Francis Wogan Festing,http://commons.wikimedia.org/wiki/Special:FilePath/Ffesting.jpg,male,Q371637,Matthew Festing,http://commons.wikimedia.org/wiki/Special:FilePath/HMEH%20Fra%27%20Matthew%20Festing%2C%2079th%20Prince%20and%20Grand%20Master%2C%20SMOM%20cropped.jpg,male
Q5629556,Lennart Ekdal,http://commons.wikimedia.org/wiki/Special:FilePath/Lennart%20ekdal.jpg,male,Q371652,Albin Ekdal,http://commons.wikimedia.org/wiki/Special:FilePath/Albin%20Ekdal%202018.jpg,male
Q2958697,Charles Ceccaldi-Raynaud,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Ceccaldi-Raynaud%2C%202005%20%28cropped%29.jpg,male,Q371696,Joëlle Ceccaldi-Raynaud,http://commons.wikimedia.org/wiki/Special:FilePath/Joelle%20Ceccaldi%20Raynaud%2C%202005%20%28cropped%29.jpg,female
Q72984,Bing Crosby,http://commons.wikimedia.org/wiki/Special:FilePath/Bing%20Crosby%20Paramount%20Pictures.jpg,male,Q371716,Gary Crosby,http://commons.wikimedia.org/wiki/Special:FilePath/Bing%20Crosby%20Gary%20Crosby%201951.JPG,male
Q5284870,Dixie Lee,http://commons.wikimedia.org/wiki/Special:FilePath/Dixie%20Lee%201935.jpg,female,Q371716,Gary Crosby,http://commons.wikimedia.org/wiki/Special:FilePath/Bing%20Crosby%20Gary%20Crosby%201951.JPG,male
Q11324272,Nicholas Platt,http://commons.wikimedia.org/wiki/Special:FilePath/Nicholas%20Platt%20and%20Ronald%20Reagan%201982.jpg,male,Q343510,Oliver Platt,http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Platt%20%282010%29.jpg,male
Q6778229,Marvella Bayh,http://commons.wikimedia.org/wiki/Special:FilePath/Marvella%20Bayh%20%281%29.jpg,female,Q344930,Evan Bayh,http://commons.wikimedia.org/wiki/Special:FilePath/Evan%20Bayh%20official%20portrait.jpg,male
Q3127926,Harry Stockwell,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Stockwell%201945.jpg,male,Q345212,Dean Stockwell,http://commons.wikimedia.org/wiki/Special:FilePath/Dean%20Stockwell%2008%20cropped.jpg,male
Q11425191,Kazuki Sakamoto,http://commons.wikimedia.org/wiki/Special:FilePath/Chunichi1967-03-22-1.jpg,male,Q345494,Ryuichi Sakamoto,http://commons.wikimedia.org/wiki/Special:FilePath/RyuichiSakamotoJI4.jpg,male
Q587389,Lasse Braun,http://commons.wikimedia.org/wiki/Special:FilePath/Lasse%20Braun%201976.jpg,male,Q345838,Axel Braun,http://commons.wikimedia.org/wiki/Special:FilePath/Axel%20Braun%20October%202010.jpg,male
Q20644782,George Sluizer,http://commons.wikimedia.org/wiki/Special:FilePath/G.%20Sluizer.png,male,Q345994,George Sluizer,http://commons.wikimedia.org/wiki/Special:FilePath/George-sluizer-1342604928.jpg,male
Q16611725,Nicolás Lapentti Carrión,http://commons.wikimedia.org/wiki/Special:FilePath/NICOLAS-EDUARDO-LAPENTTI-CARRI%C3%93N%20%288318637740%29.jpg,male,Q346630,Nicolás Lapentti,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas-lapentti.png,male
Q4098632,Konstantin Bukovsky,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%91%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%20%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%20%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87.png,male,Q360471,Vladimir Bukovsky,http://commons.wikimedia.org/wiki/Special:FilePath/Boekovski1987.jpg,male
Q1349205,Jason Miller,http://commons.wikimedia.org/wiki/Special:FilePath/Jason%20Miller%20-%20Broadway%20headshot%20c.%201972.jpg,male,Q361412,Jason Patric,http://commons.wikimedia.org/wiki/Special:FilePath/Jason%20Patric%20%2825525400254%29%20%28cropped%29.jpg,male
Q5976666,Linda Miller,http://commons.wikimedia.org/wiki/Special:FilePath/Linda%20Miller%20in%201965.png,female,Q361412,Jason Patric,http://commons.wikimedia.org/wiki/Special:FilePath/Jason%20Patric%20%2825525400254%29%20%28cropped%29.jpg,male
Q321776,Michio Watanabe,http://commons.wikimedia.org/wiki/Special:FilePath/Michio%20Watanabe%20at%20the%20Pentagon%20on%20February%2012%2C%201993.jpg,male,Q361715,Yoshimi Watanabe,http://commons.wikimedia.org/wiki/Special:FilePath/Yoshimi%20Watanabe%20cropped%201%20YoshimiWatanabeJI1.jpg,male
Q374479,Dewey Redman,http://commons.wikimedia.org/wiki/Special:FilePath/Dewey-redman-sw1.jpg,male,Q361927,Joshua Redman,http://commons.wikimedia.org/wiki/Special:FilePath/Joshua%20Redman%20Kongsberg%20Jazzfestival%202017%20%28234336%29.jpg,male
Q8027,Martin Luther King Jr.,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Luther%20King%2C%20Jr..jpg,male,Q362304,Dexter Scott King,http://commons.wikimedia.org/wiki/Special:FilePath/Dexter%20King%201999.jpg,male
Q106775,Richard Harris,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Harris%201985%20%281%29.jpg,male,Q362500,Jared Harris,http://commons.wikimedia.org/wiki/Special:FilePath/Jared%20Harris%202014.jpg,male
Q106775,Richard Harris,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Harris%201985%20%281%29.jpg,male,Q362500,Jared Harris,http://commons.wikimedia.org/wiki/Special:FilePath/Jarred%20Harris%20at%20DIFF%202024.jpg,male
Q5671454,Harry Einstein,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Einstein.jpg,male,Q356303,Albert Brooks,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Brooks%20at%20%27Drive%27%20premiere%20TIFF%209.10.11.jpg,male
Q7781079,Thelma Leeds,http://commons.wikimedia.org/wiki/Special:FilePath/Thelma%20Leeds%20in%201937.jpg,female,Q356303,Albert Brooks,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Brooks%20at%20%27Drive%27%20premiere%20TIFF%209.10.11.jpg,male
Q605880,Miguel Ángel Alonso,http://commons.wikimedia.org/wiki/Special:FilePath/Periko%20Alonso.jpg,male,Q356439,Mikel Alonso,http://commons.wikimedia.org/wiki/Special:FilePath/FUTBOLISTAS%20LA%20VIDA%20FUERA%20DEL%20FUTBOL-KORNER%202020%20%2849546560458%29%20%28cropped%29.jpg,male
Q2459273,Tug McGraw,http://commons.wikimedia.org/wiki/Special:FilePath/Tug%20McGraw%20Phillies.JPG,male,Q356487,Tim McGraw,http://commons.wikimedia.org/wiki/Special:FilePath/Tim%20McGraw%20October%2024%202015.jpg,male
Q267724,Lucia Bosé,http://commons.wikimedia.org/wiki/Special:FilePath/Accadde%20al%20commissariato%2016%20%28cropped%29.jpg,female,Q356762,Miguel Bosé,http://commons.wikimedia.org/wiki/Special:FilePath/Miguel%20Bos%C3%A9%20en%20la%20Presentaci%C3%B3n%20de%20la%20Gala%20Sida%20de%202017.jpg,male
Q745388,Luis Miguel Dominguín,http://commons.wikimedia.org/wiki/Special:FilePath/Corrida%20de%20toros%20en%20la%20plaza%20de%20%27El%20Txofre%27%20%2867%20de%2079%29%20-%20Fondo%20Mar%C3%ADn-Kutxa%20Fototeka%20%28cropped%29.jpg,male,Q356762,Miguel Bosé,http://commons.wikimedia.org/wiki/Special:FilePath/Miguel%20Bos%C3%A9%20en%20la%20Presentaci%C3%B3n%20de%20la%20Gala%20Sida%20de%202017.jpg,male
Q527522,Serge Moscovici,http://commons.wikimedia.org/wiki/Special:FilePath/2003Moscovici2.jpg,male,Q356919,Pierre Moscovici,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Moscovici%20-%20P027634000101-313948%20%28cropped%29.jpg,male
Q527522,Serge Moscovici,http://commons.wikimedia.org/wiki/Special:FilePath/2003Moscovici2.jpg,male,Q356919,Pierre Moscovici,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Moscovici%20-%20P027634000101-313948%20%28cropped%29.jpg,male
Q7052163,Norman Douglas,http://commons.wikimedia.org/wiki/Special:FilePath/Norman%20Douglas%2C%201969.jpg,male,Q352998,Roger Douglas,http://commons.wikimedia.org/wiki/Special:FilePath/Roger%20Douglas%202008.jpg,male
Q2549618,Alexei Eremenko,http://commons.wikimedia.org/wiki/Special:FilePath/Alexei%20Eremenko%20Sr.%201.jpg,male,Q353074,Roman Eremenko,http://commons.wikimedia.org/wiki/Special:FilePath/Roman%20Eremenko%20in%202019.jpg,male
Q62618613,Rajkumar Barjatya,http://commons.wikimedia.org/wiki/Special:FilePath/Rajkumar%20Barjatya.jpg,male,Q354051,Sooraj R. Barjatya,http://commons.wikimedia.org/wiki/Special:FilePath/Sooraj%20Barjatya.jpg,male
Q938844,William Lindsay Gresham,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Lindsay%20Gresham%20writer.png,male,Q354538,Douglas Gresham,http://commons.wikimedia.org/wiki/Special:FilePath/DouglasGresham.jpg,male
Q719215,Lee Petty,http://commons.wikimedia.org/wiki/Special:FilePath/LeePettyDodgeCoronet.jpg,male,Q355130,Richard Petty,http://commons.wikimedia.org/wiki/Special:FilePath/NASCAR%20Troops%20to%20Tracks%20161001-F-DA910-078.jpg,male
Q275985,Natalia Ginzburg,http://commons.wikimedia.org/wiki/Special:FilePath/Natalia%20Ginzburg.jpg,female,Q355251,Carlo Ginzburg,http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Ginzburg%20par%20Claude%20Truong-Ngoc%20mars%202013.jpg,male
Q1233679,Leone Ginzburg,http://commons.wikimedia.org/wiki/Special:FilePath/Leone%20Ginzburg.jpg,male,Q355251,Carlo Ginzburg,http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Ginzburg%20par%20Claude%20Truong-Ngoc%20mars%202013.jpg,male
Q29574,Beatrix of the Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Prinses%20Beatrix.jpg,female,Q355254,Prince Constantijn of the Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Constantijn%20van%20Oranje-Nassau%20on%2029%20January%202024%20%28cropped%29.jpg,male
Q159609,"Prince Claus, Prince Consort of the Netherlands",http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Claus%20of%20the%20Netherlands%201986.jpg,male,Q355254,Prince Constantijn of the Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Constantijn%20van%20Oranje-Nassau%20on%2029%20January%202024%20%28cropped%29.jpg,male
